gesture,sample_id,timestamp,aX,aY,aZ,gX,gY,gZ,temp
idle,1767714402980,3718,0.077,0.008,0.925,18.489,3.183,0.756,23.31
idle,1767714402980,3733,0.078,0.002,0.933,18.565,2.969,0.832,23.31
idle,1767714402980,3749,0.075,0.002,0.935,18.511,3.107,0.527,23.35
idle,1767714402980,3765,0.081,0.012,0.930,18.702,3.069,0.580,23.17
idle,1767714402980,3780,0.073,0.012,0.931,18.527,2.969,0.679,23.21
idle,1767714402980,3795,0.074,0.008,0.927,18.519,3.099,0.687,23.17
idle,1767714402980,3811,0.080,0.009,0.932,18.366,3.084,0.595,23.17
idle,1767714402980,3826,0.070,0.012,0.933,18.405,2.916,0.794,23.21
idle,1767714402980,3843,0.078,0.008,0.940,18.649,2.916,0.779,23.31
idle,1767714402980,3858,0.082,0.005,0.935,18.603,2.901,0.733,23.26
idle,1767714402980,3873,0.076,0.012,0.935,18.725,2.771,0.588,23.31
idle,1767714402980,3889,0.072,0.010,0.922,18.458,2.939,0.855,23.31
idle,1767714402980,3904,0.078,0.015,0.921,18.504,2.893,0.504,23.26
idle,1767714402980,3919,0.072,0.005,0.936,18.588,2.885,0.595,23.26
idle,1767714402980,3936,0.074,0.014,0.927,18.489,2.977,0.603,23.21
idle,1767714402980,3951,0.072,0.014,0.936,18.496,2.954,0.756,23.21
idle,1767714402980,3966,0.077,0.012,0.933,18.489,3.153,0.580,23.17
idle,1767714402980,3982,0.072,0.014,0.925,18.565,2.947,0.779,23.17
idle,1767714402980,3997,0.073,0.011,0.931,18.603,2.947,0.756,23.21
idle,1767714402980,4013,0.072,0.002,0.924,18.687,2.786,0.634,23.21
idle,1767714402980,4029,0.075,0.011,0.931,18.153,1.939,0.672,23.26
idle,1767714402980,4044,0.074,0.010,0.922,18.260,1.878,0.527,23.26
idle,1767714402980,4060,0.074,0.009,0.933,18.550,3.160,0.672,23.21
idle,1767714402980,4075,0.072,0.008,0.931,18.466,3.053,0.679,23.26
idle,1767714402980,4090,0.077,0.013,0.934,18.519,2.992,0.687,23.26
idle,1767714402980,4106,0.072,0.012,0.924,18.450,2.947,0.626,23.21
idle,1767714402980,4122,0.067,0.012,0.941,18.137,0.885,0.542,23.21
idle,1767714402980,4137,-0.004,0.029,0.917,18.115,0.771,0.573,23.26
idle,1767714402980,4153,0.033,0.010,0.915,19.710,6.595,2.863,23.35
idle,1767714402980,4168,0.112,-0.038,0.928,18.473,4.855,-6.008,23.31
idle,1767714402980,4184,0.109,-0.019,0.927,18.954,3.145,-21.756,23.21
idle,1767714402980,4200,0.080,0.058,0.933,17.046,2.145,-19.748,23.31
idle,1767714402980,4215,0.018,0.018,0.921,17.870,1.137,-6.977,23.21
idle,1767714402980,4231,0.083,0.014,0.919,16.519,7.603,0.397,23.31
idle,1767714402980,4246,0.121,-0.013,0.910,18.015,4.649,-6.832,23.26
idle,1767714402980,4261,0.103,0.009,0.909,18.099,2.603,-22.550,23.26
idle,1767714402980,4278,0.108,0.022,0.936,18.626,4.130,-21.992,23.26
idle,1767714402980,4293,0.058,0.050,0.934,18.466,-1.817,-5.634,23.26
idle,1767714402980,4308,0.051,0.022,0.906,18.267,5.695,10.305,23.31
idle,1767714402980,4324,0.077,-0.035,0.946,18.817,5.359,4.962,23.12
idle,1767714402980,4340,0.112,0.017,0.938,18.153,3.397,-15.557,23.21
